Pollutant,Measure,Measure Info,Location,Period,Start_Date,Value
Fine particles (PM 2.5),Mean,mcg/m3,West Queens,Winter 2017-18,2017-12-01,8.67
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem - Morningside Heights,Annual Average 2022,2022-01-01,6.245602889
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem - Morningside Heights,Winter 2013-14,2013-12-01,13.1
Fine particles (PM 2.5),Mean,mcg/m3,Ridgewood - Forest Hills,Annual Average 2022,2022-01-01,5.754248643
Fine particles (PM 2.5),Mean,mcg/m3,Ridgewood - Forest Hills,Winter 2008-09,2008-12-01,13.29
Fine particles (PM 2.5),Mean,mcg/m3,Downtown - Heights - Slope,Annual Average 2022,2022-01-01,6.387990997
Fine particles (PM 2.5),Mean,mcg/m3,Highbridge and Concourse (CD4),Summer 2023,2023-06-01,9.2882538
Fine particles (PM 2.5),Mean,mcg/m3,Morrisania and Crotona (CD3),Summer 2014,2014-06-01,8.94
Fine particles (PM 2.5),Mean,mcg/m3,Morrisania and Crotona (CD3),Annual Average 2011,2010-12-01,11.09
Fine particles (PM 2.5),Mean,mcg/m3,Bushwick (CD4),Winter 2018-19,2018-12-01,7.71
Fine particles (PM 2.5),Mean,mcg/m3,Bedford Stuyvesant (CD3),Annual Average 2015,2015-01-01,9.03
Fine particles (PM 2.5),Mean,mcg/m3,Bedford Stuyvesant (CD3),Summer 2020,2020-06-01,7.07
Fine particles (PM 2.5),Mean,mcg/m3,East Flatbush (CD17),Winter 2009-10,2009-12-01,10.34
Fine particles (PM 2.5),Mean,mcg/m3,East Flatbush (CD17),Winter 2011-12,2011-12-01,9.33
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Hunts Point - Mott Haven,2017-2019,2017-01-01,192.0
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Bronx,2005-2007,2005-01-01,136.1
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Bronx,2005-2007,2005-01-01,34.1
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Brooklyn,2009-2011,2009-01-01,93.1
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Canarsie - Flatlands,2009-2011,2009-01-01,81.7
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Jamaica,2009-2011,2009-01-01,144.7
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Jamaica,2009-2011,2009-01-01,28.3
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Hunts Point - Mott Haven,2009-2011,2009-01-01,43.6
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Brooklyn,2009-2011,2009-01-01,101.0
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Brooklyn,2009-2011,2009-01-01,20.9
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Greenwich Village - SoHo,2009-2011,2009-01-01,6.2
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Gramercy Park - Murray Hill,2009-2011,2009-01-01,70.0
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Gramercy Park - Murray Hill,2009-2011,2009-01-01,10.6
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Greenwich Village - SoHo,2009-2011,2009-01-01,24.2
Fine particles (PM 2.5),Mean,mcg/m3,Fordham - Bronx Pk,Annual Average 2022,2022-01-01,6.126579475
Fine particles (PM 2.5),Mean,mcg/m3,Fordham - Bronx Pk,Winter 2017-18,2017-12-01,8.22
Fine particles (PM 2.5),Mean,mcg/m3,Crotona -Tremont,Annual Average 2022,2022-01-01,6.232981101
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park,Winter 2008-09,2008-12-01,13.49
Fine particles (PM 2.5),Mean,mcg/m3,Flushing - Clearview,Winter 2008-09,2008-12-01,12.74
Fine particles (PM 2.5),Mean,mcg/m3,Flushing - Clearview,Annual Average 2013,2012-12-01,8.39
Fine particles (PM 2.5),Mean,mcg/m3,East Harlem,Annual Average 2021,2021-01-01,6.788910431
Fine particles (PM 2.5),Mean,mcg/m3,Ridgewood - Forest Hills,Winter 2014-15,2014-12-01,9.09
Fine particles (PM 2.5),Mean,mcg/m3,Riverdale and Fieldston (CD8),Annual Average 2015,2015-01-01,9.16
Fine particles (PM 2.5),Mean,mcg/m3,Park Slope and Carroll Gardens (CD6),Annual Average 2015,2015-01-01,9.91
Fine particles (PM 2.5),Mean,mcg/m3,Riverdale and Fieldston (CD8),Summer 2020,2020-06-01,7.21
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Bedford Stuyvesant - Crown Heights,2017-2019,2017-01-01,28.0
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Sunset Park,2017-2019,2017-01-01,7.0
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Crotona -Tremont,2017-2019,2017-01-01,157.0
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Upper East Side,2005-2007,2005-01-01,30.0
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Upper East Side,2005-2007,2005-01-01,6.5
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Upper East Side,2017-2019,2017-01-01,5.0
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Ridgewood - Forest Hills,2009-2011,2009-01-01,56.3
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Sunset Park,2009-2011,2009-01-01,10.8
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Sunset Park,2009-2011,2009-01-01,59.5
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Bedford Stuyvesant - Crown Heights,2009-2011,2009-01-01,191.4
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Bedford Stuyvesant - Crown Heights,2009-2011,2009-01-01,40.2
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Willowbrook,2009-2011,2009-01-01,47.3
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Willowbrook,2009-2011,2009-01-01,10.0
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Flushing - Clearview,2009-2011,2009-01-01,11.2
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Flushing - Clearview,2009-2011,2009-01-01,40.0
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Crotona -Tremont,2009-2011,2009-01-01,39.6
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Crotona -Tremont,2009-2011,2009-01-01,183.9
Nitrogen dioxide (NO2),Mean,ppb,Brownsville (CD16),Winter 2009-10,2009-12-01,28.14
Nitrogen dioxide (NO2),Mean,ppb,Brownsville (CD16),Winter 2011-12,2011-12-01,25.2
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem - Morningside Heights,Winter 2015-16,2015-12-01,8.42
Fine particles (PM 2.5),Mean,mcg/m3,East Flatbush - Flatbush,Summer 2020,2020-06-01,6.76
Nitrogen dioxide (NO2),Mean,ppb,Fordham and University Heights (CD5),Summer 2020,2020-06-01,15.18
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Annual Average 2011,2010-12-01,28.23
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Annual Average 2020,2020-01-01,18.99
Nitrogen dioxide (NO2),Mean,ppb,East Flatbush - Flatbush,Winter 2021-22,2021-12-01,20.92609859
Nitrogen dioxide (NO2),Mean,ppb,Fordham and University Heights (CD5),Summer 2013,2013-06-01,20.23
Nitrogen dioxide (NO2),Mean,ppb,Fordham and University Heights (CD5),Summer 2012,2012-06-01,20.62
Nitrogen dioxide (NO2),Mean,ppb,Brownsville (CD16),Annual Average 2015,2015-01-01,20.08
Nitrogen dioxide (NO2),Mean,ppb,East Flatbush - Flatbush,Winter 2014-15,2014-12-01,25.7
Ozone (O3),Mean,ppb,Fordham and University Heights (CD5),Summer 2016,2016-06-01,32.06
Ozone (O3),Mean,ppb,Midtown (CD5),Summer 2016,2016-06-01,26.92
Nitrogen dioxide (NO2),Mean,ppb,East New York and Starrett City (CD5),Winter 2020-21,2020-12-01,22.06994742
Nitrogen dioxide (NO2),Mean,ppb,Fordham and University Heights (CD5),Summer 2010,2010-06-01,24.06
Nitrogen dioxide (NO2),Mean,ppb,Fordham and University Heights (CD5),Summer 2011,2011-06-01,22.24
Nitrogen dioxide (NO2),Mean,ppb,Fordham and University Heights (CD5),Annual Average 2009,2008-12-01,29.65
Nitrogen dioxide (NO2),Mean,ppb,Fordham and University Heights (CD5),Annual Average 2011,2010-12-01,26.79
Nitrogen dioxide (NO2),Mean,ppb,Fordham and University Heights (CD5),Winter 2018-19,2018-12-01,23.1
Nitrogen dioxide (NO2),Mean,ppb,Fordham and University Heights (CD5),Annual Average 2020,2020-01-01,19.15
Ozone (O3),Mean,ppb,Central Harlem - Morningside Heights,Summer 2010,2010-06-01,29.75
Ozone (O3),Mean,ppb,Chelsea - Clinton,Summer 2016,2016-06-01,28.76
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Summer 2010,2010-06-01,25.48
Annual vehicle miles traveled,Million miles,per square mile,Chelsea - Clinton,2019,2019-01-01,136.036183
Annual vehicle miles traveled (cars),Million miles,per square mile,Chelsea - Clinton,2010,2010-01-01,91.784894
Annual vehicle miles traveled (cars),Million miles,per square mile,Chelsea - Clinton,2019,2019-01-01,118.311535
Annual vehicle miles traveled (cars),Million miles,per square mile,Fresh Meadows,2005,2005-01-01,58.093365
Fine particles (PM 2.5),Mean,mcg/m3,East Flatbush - Flatbush,Annual Average 2014,2013-12-01,8.97
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Central Harlem - Morningside Heights,2013,2013-01-01,2.0
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Downtown - Heights - Slope,2013,2013-01-01,0.1
Fine particles (PM 2.5),Mean,mcg/m3,Bensonhurst - Bay Ridge,Summer 2020,2020-06-01,6.69
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Winter 2009-10,2009-12-01,10.39
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Summer 2017,2017-06-01,9.87
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Greenpoint,2013,2013-01-01,0.1
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Kingsbridge - Riverdale,2013,2013-01-01,2.0
Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Washington Heights,2011,2011-01-01,2.4
Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Washington Heights,2014,2014-01-01,1.018010151
Fine particles (PM 2.5),Mean,mcg/m3,Kingsbridge - Riverdale,Winter 2017-18,2017-12-01,8.0
Fine particles (PM 2.5),Mean,mcg/m3,Kingsbridge - Riverdale,Annual Average 2019,2019-01-01,6.71
Fine particles (PM 2.5),Mean,mcg/m3,Greenpoint,Winter 2008-09,2008-12-01,14.25
Fine particles (PM 2.5),Mean,mcg/m3,Bensonhurst - Bay Ridge,Winter 2013-14,2013-12-01,11.51
Fine particles (PM 2.5),Mean,mcg/m3,Bensonhurst - Bay Ridge,Annual Average 2022,2022-01-01,5.58462253
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Winter 2017-18,2017-12-01,9.27
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Annual Average 2019,2019-01-01,7.99
Fine particles (PM 2.5),Mean,mcg/m3,Kingsbridge - Riverdale,Annual Average 2022,2022-01-01,6.046809555
Fine particles (PM 2.5),Mean,mcg/m3,Throgs Neck and Co-op City (CD10),Annual Average 2011,2010-12-01,10.42
Fine particles (PM 2.5),Mean,mcg/m3,Throgs Neck and Co-op City (CD10),Annual Average 2009,2008-12-01,10.47
Fine particles (PM 2.5),Mean,mcg/m3,Williamsbridge and Baychester (CD12),Winter 2018-19,2018-12-01,7.14
Fine particles (PM 2.5),Mean,mcg/m3,Throgs Neck and Co-op City (CD10),Summer 2014,2014-06-01,8.56
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem (CD10),Annual Average 2011,2010-12-01,11.08
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem (CD10),Annual Average 2009,2008-12-01,11.55
Fine particles (PM 2.5),Mean,mcg/m3,Borough Park (CD12),Annual Average 2014,2013-12-01,8.89
Fine particles (PM 2.5),Mean,mcg/m3,South Ozone Park and Howard Beach (CD10),Winter 2009-10,2009-12-01,9.48
Fine particles (PM 2.5),Mean,mcg/m3,South Ozone Park and Howard Beach (CD10),Winter 2011-12,2011-12-01,8.21
Fine particles (PM 2.5),Mean,mcg/m3,South Ozone Park and Howard Beach (CD10),Annual Average 2014,2013-12-01,8.22
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica and Hollis (CD12),Summer 2017,2017-06-01,8.62
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica and Hollis (CD12),Winter 2016-17,2016-12-01,7.95
Fine particles (PM 2.5),Mean,mcg/m3,South Ozone Park and Howard Beach (CD10),Winter 2016-17,2016-12-01,7.57
Fine particles (PM 2.5),Mean,mcg/m3,South Ozone Park and Howard Beach (CD10),Summer 2017,2017-06-01,8.29
Fine particles (PM 2.5),Mean,mcg/m3,Throgs Neck and Co-op City (CD10),Summer 2018,2018-06-01,8.26
Fine particles (PM 2.5),Mean,mcg/m3,Greenpoint and Williamsburg (CD1),Winter 2011-12,2011-12-01,10.5
Fine particles (PM 2.5),Mean,mcg/m3,Fort Greene and Brooklyn Heights (CD2),Winter 2016-17,2016-12-01,8.45
Fine particles (PM 2.5),Mean,mcg/m3,Woodside and Sunnyside (CD2),Summer 2012,2012-06-01,11.7
Fine particles (PM 2.5),Mean,mcg/m3,Woodside and Sunnyside (CD2),Summer 2013,2013-06-01,11.59
Fine particles (PM 2.5),Mean,mcg/m3,Hunts Point and Longwood (CD2),Annual Average 2018,2018-01-01,8.12
Fine particles (PM 2.5),Mean,mcg/m3,Greenpoint and Williamsburg (CD1),Annual Average 2016,2015-12-31,9.55
Fine particles (PM 2.5),Mean,mcg/m3,Greenpoint and Williamsburg (CD1),Winter 2021-22,2021-12-01,7.435747777
Fine particles (PM 2.5),Mean,mcg/m3,Greenwich Village and Soho (CD2),Annual Average 2016,2015-12-31,9.53
Fine particles (PM 2.5),Mean,mcg/m3,Greenwich Village and Soho (CD2),Winter 2021-22,2021-12-01,9.440361241
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Winter 2015-16,2015-12-01,22.68
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Summer 2018,2018-06-01,19.67
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Winter 2009-10,2009-12-01,32.17
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Summer 2020,2020-06-01,8.92
Nitrogen dioxide (NO2),Mean,ppb,Lower Manhattan,Winter 2019-20,2019-12-01,32.12
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Winter 2012-13,2012-12-01,22.54
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side,Annual Average 2014,2013-12-01,25.1
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side,Summer 2020,2020-06-01,15.07
Nitrogen dioxide (NO2),Mean,ppb,Flushing - Clearview,Annual Average 2014,2013-12-01,19.45
Nitrogen dioxide (NO2),Mean,ppb,Flushing - Clearview,Winter 2017-18,2017-12-01,24.42
Nitrogen dioxide (NO2),Mean,ppb,Flushing - Clearview,Annual Average 2019,2019-01-01,16.26
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side,Winter 2013-14,2013-12-01,30.99
Nitrogen dioxide (NO2),Mean,ppb,East New York,Winter 2013-14,2013-12-01,27.88
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side,Annual Average 2022,2022-01-01,18.1592721
Nitrogen dioxide (NO2),Mean,ppb,East Harlem,Winter 2017-18,2017-12-01,26.75
Nitrogen dioxide (NO2),Mean,ppb,East Harlem,Winter 2008-09,2008-12-01,34.29
Nitrogen dioxide (NO2),Mean,ppb,Fordham - Bronx Pk,Winter 2013-14,2013-12-01,24.97
Nitrogen dioxide (NO2),Mean,ppb,Union Square - Lower East Side,Winter 2013-14,2013-12-01,32.79
Nitrogen dioxide (NO2),Mean,ppb,Lower Manhattan,Winter 2008-09,2008-12-01,41.31
Nitrogen dioxide (NO2),Mean,ppb,Union Square - Lower East Side,Annual Average 2022,2022-01-01,18.02876309
Nitrogen dioxide (NO2),Mean,ppb,Lower Manhattan,Annual Average 2019,2019-01-01,24.17
Nitrogen dioxide (NO2),Mean,ppb,Union Square - Lower East Side,Annual Average 2019,2019-01-01,21.57
Nitrogen dioxide (NO2),Mean,ppb,Lower Manhattan,Winter 2013-14,2013-12-01,34.47
Nitrogen dioxide (NO2),Mean,ppb,Lower Manhattan,Annual Average 2022,2022-01-01,20.80571845
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Canarsie - Flatlands,2009-2011,2009-01-01,21.5
Fine particles (PM 2.5),Mean,mcg/m3,Morrisania and Crotona (CD3),Summer 2013,2013-06-01,10.62
Fine particles (PM 2.5),Mean,mcg/m3,Bedford Stuyvesant (CD3),Winter 2021-22,2021-12-01,7.072511833
Fine particles (PM 2.5),Mean,mcg/m3,Elmhurst and Corona (CD4),Annual Average 2017,2017-01-01,7.54
Fine particles (PM 2.5),Mean,mcg/m3,Downtown - Heights - Slope,Winter 2020-21,2020-12-01,7.310411539
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Winter 2020-21,2020-12-01,21.17469782
Nitrogen dioxide (NO2),Mean,ppb,Bronx,Winter 2015-16,2015-12-01,22.28
Nitrogen dioxide (NO2),Mean,ppb,Gramercy Park - Murray Hill,Winter 2009-10,2009-12-01,40.59
Nitrogen dioxide (NO2),Mean,ppb,Gramercy Park - Murray Hill,Winter 2011-12,2011-12-01,36.31
Nitrogen dioxide (NO2),Mean,ppb,Greenwich Village - SoHo,Winter 2009-10,2009-12-01,33.62
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Annual Average 2014,2013-12-01,21.14
Nitrogen dioxide (NO2),Mean,ppb,Brooklyn,Winter 2011-12,2011-12-01,23.5
Nitrogen dioxide (NO2),Mean,ppb,Brooklyn,Winter 2016-17,2016-12-01,24.74
Nitrogen dioxide (NO2),Mean,ppb,East Flatbush - Flatbush,Annual Average 2023,2023-01-01,16.14575343
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights,Annual Average 2013,2012-12-01,22.79
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights,Annual Average 2017,2017-01-01,20.56
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Summer 2018,2018-06-01,13.05
Nitrogen dioxide (NO2),Mean,ppb,Downtown - Heights - Slope,Annual Average 2014,2013-12-01,22.67
Nitrogen dioxide (NO2),Mean,ppb,Downtown - Heights - Slope,Summer 2020,2020-06-01,12.96
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Annual Average 2014,2013-12-01,21.87
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Winter 2016-17,2016-12-01,26.77
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Summer 2020,2020-06-01,12.85
Nitrogen dioxide (NO2),Mean,ppb,Ridgewood - Forest Hills,Winter 2011-12,2011-12-01,24.49
Nitrogen dioxide (NO2),Mean,ppb,Ridgewood - Forest Hills,Winter 2009-10,2009-12-01,26.35
Nitrogen dioxide (NO2),Mean,ppb,Brooklyn,Winter 2013-14,2013-12-01,27.78
Nitrogen dioxide (NO2),Mean,ppb,Brooklyn,Annual Average 2022,2022-01-01,15.42809652
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Winter 2013-14,2013-12-01,29.87
Nitrogen dioxide (NO2),Mean,ppb,Ridgewood - Forest Hills,Annual Average 2022,2022-01-01,15.2081041
Nitrogen dioxide (NO2),Mean,ppb,Ridgewood - Forest Hills,Winter 2008-09,2008-12-01,29.88
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Annual Average 2022,2022-01-01,16.86614244
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Winter 2013-14,2013-12-01,29.51
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights,Winter 2008-09,2008-12-01,32.91
Nitrogen dioxide (NO2),Mean,ppb,Downtown - Heights - Slope,Winter 2013-14,2013-12-01,29.89
Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Central Harlem - Morningside Heights,2014,2014-01-01,1.033408443
Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Downtown - Heights - Slope,2014,2014-01-01,0.99727837
Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Chelsea - Clinton,2011,2011-01-01,3.1
Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Chelsea - Clinton,2014,2014-01-01,1.077311948
Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Northeast Bronx,2011,2011-01-01,1.4
Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Downtown - Heights - Slope,2005,2005-01-01,3.7
Fine particles (PM 2.5),Mean,mcg/m3,Northeast Bronx,Winter 2008-09,2008-12-01,13.58
Fine particles (PM 2.5),Mean,mcg/m3,Downtown - Heights - Slope,Winter 2013-14,2013-12-01,12.93
Fine particles (PM 2.5),Mean,mcg/m3,Downtown - Heights - Slope,Annual Average 2019,2019-01-01,7.44
Fine particles (PM 2.5),Mean,mcg/m3,Downtown - Heights - Slope,Annual Average 2022,2022-01-01,6.387990997
Fine particles (PM 2.5),Mean,mcg/m3,East Flatbush - Flatbush,Winter 2013-14,2013-12-01,11.7
Fine particles (PM 2.5),Mean,mcg/m3,East Flatbush - Flatbush,Annual Average 2022,2022-01-01,5.640862065
Fine particles (PM 2.5),Mean,mcg/m3,East New York and Starrett City (CD5),Annual Average 2015,2015-01-01,8.66
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Downtown - Heights - Slope,2005-2007,2005-01-01,16.5
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Downtown - Heights - Slope,2005-2007,2005-01-01,77.1
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Chelsea - Clinton,2017-2019,2017-01-01,64.0
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Chelsea - Clinton,2017-2019,2017-01-01,9.0
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Fresh Meadows,2009-2011,2009-01-01,13.6
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Northeast Bronx,2009-2011,2009-01-01,79.3
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Downtown - Heights - Slope,2009-2011,2009-01-01,95.3
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Chelsea - Clinton,2009-2011,2009-01-01,91.6
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Chelsea - Clinton,2009-2011,2009-01-01,14.1
Fine particles (PM 2.5),Mean,mcg/m3,East New York and Starrett City (CD5),Annual Average 2016,2015-12-31,7.73
Fine particles (PM 2.5),Mean,mcg/m3,East New York and Starrett City (CD5),Winter 2021-22,2021-12-01,6.686860837
Fine particles (PM 2.5),Mean,mcg/m3,Ridgewood and Maspeth (CD5),Winter 2014-15,2014-12-01,9.45
Fine particles (PM 2.5),Mean,mcg/m3,Ridgewood and Maspeth (CD5),Annual Average 2021,2021-01-01,6.961902901
Fine particles (PM 2.5),Mean,mcg/m3,East Flatbush - Flatbush,Winter 2015-16,2015-12-01,8.37
Fine particles (PM 2.5),Mean,mcg/m3,East Flatbush - Flatbush,Summer 2016,2016-06-01,8.12
Fine particles (PM 2.5),Mean,mcg/m3,Staten Island,Annual Average 2021,2021-01-01,6.152014512
Fine particles (PM 2.5),Mean,mcg/m3,Pelham - Throgs Neck,Annual Average 2017,2017-01-01,7.52
Fine particles (PM 2.5),Mean,mcg/m3,Pelham - Throgs Neck,Annual Average 2013,2012-12-01,8.74
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Williamsburg - Bushwick,2009-2011,2009-01-01,184.6
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Williamsburg - Bushwick,2005-2007,2005-01-01,185.7
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",East New York,2012-2014,2012-01-02,141.5831149
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Upper West Side,2005-2007,2005-01-01,113.2
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Upper West Side,2009-2011,2009-01-01,74.2
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Upper West Side,2012-2014,2012-01-02,63.92992627
Nitrogen dioxide (NO2),Mean,ppb,Bayside - Little Neck,Annual Average 2014,2013-12-01,17.44
Nitrogen dioxide (NO2),Mean,ppb,Bayside - Little Neck,Summer 2018,2018-06-01,11.72
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Summer 2018,2018-06-01,12.84
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Winter 2018-19,2018-12-01,20.36
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Annual Average 2009,2008-12-01,22.83
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Annual Average 2011,2010-12-01,21.61
Fine particles (PM 2.5),Mean,mcg/m3,Bayside - Little Neck,Annual Average 2014,2013-12-01,8.31
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park,Summer 2020,2020-06-01,7.27
Fine particles (PM 2.5),Mean,mcg/m3,Pelham - Throgs Neck,Summer 2018,2018-06-01,8.39
Nitrogen dioxide (NO2),Mean,ppb,Staten Island,Annual Average 2011,2010-12-01,16.17
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",East New York,2012-2014,2012-01-02,84.9497052
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Upper West Side,2012-2014,2012-01-02,23.48917975
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Bayside - Little Neck,2015-2017,2015-01-01,4.9
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Williamsburg - Bushwick,2012-2014,2012-01-02,97.15222812
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Pelham - Throgs Neck,2015-2017,2015-01-01,44.6
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Upper West Side,2009-2011,2009-01-01,25.5
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Williamsburg - Bushwick,2009-2011,2009-01-01,106.8
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Williamsburg - Bushwick,2017-2019,2017-01-01,51.0
